,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
774,DB00189,Ethchlorvynol,small molecule,Organic oxygen compounds,positive allosteric modulator,"Ethchlorvynol is a sedative and hypnotic drug. It has been used to treat insomnia, but has been largely superseded and is only offered where an intolerance or allergy to other drugs exists.",What is the mechanism of action of Ethchlorvynol?,It acts as a stimulant to the central nervous system.,It depresses the central nervous system similar to barbiturates.,It blocks adrenergic receptors.,It acts as an antiviral agent.,It inhibits enzyme activity in the liver.,B
775,DB00189,Ethchlorvynol,small molecule,Organic oxygen compounds,positive allosteric modulator,"Ethchlorvynol is a sedative and hypnotic drug. It has been used to treat insomnia, but has been largely superseded and is only offered where an intolerance or allergy to other drugs exists.",What is the plasma half-life range of Ethchlorvynol?,1 to 5 hours,5 to 10 hours,10 to 20 hours,20 to 30 hours,30 to 40 hours,C
776,DB00189,Ethchlorvynol,small molecule,Organic oxygen compounds,positive allosteric modulator,"Ethchlorvynol is a sedative and hypnotic drug. It has been used to treat insomnia, but has been largely superseded and is only offered where an intolerance or allergy to other drugs exists.",Which of the following is a symptom of Ethchlorvynol overdose?,Hypertension,Thrombocytopenia,Hyperactivity,Increased appetite,Decreased heart rate,B
777,DB00189,Ethchlorvynol,small molecule,Organic oxygen compounds,positive allosteric modulator,"Ethchlorvynol is a sedative and hypnotic drug. It has been used to treat insomnia, but has been largely superseded and is only offered where an intolerance or allergy to other drugs exists.",Which of the following food interactions is advised with Ethchlorvynol?,Avoid caffeine.,Take with food to reduce irritation.,Consume with grapefruit juice.,Take on an empty stomach.,Avoid dairy products.,B
778,DB00194,Vidarabine,small molecule,"Nucleosides, nucleotides, and analogues",inducer | inhibitor,"A nucleoside antibiotic isolated from Streptomyces antibioticus. It has some antineoplastic properties and has broad spectrum activity against DNA viruses in cell cultures and significant antiviral activity against infections caused by a variety of viruses such as the herpes viruses, the vaccinia VIRUS and varicella zoster virus.",Which viruses is Vidarabine primarily effective against?,Influenza virus,Human Immunodeficiency Virus (HIV),Hepatitis B virus,"Herpes simplex virus types 1 and 2, and varicella-zoster virus",Coronavirus,D
779,DB00194,Vidarabine,small molecule,"Nucleosides, nucleotides, and analogues",inducer | inhibitor,"A nucleoside antibiotic isolated from Streptomyces antibioticus. It has some antineoplastic properties and has broad spectrum activity against DNA viruses in cell cultures and significant antiviral activity against infections caused by a variety of viruses such as the herpes viruses, the vaccinia VIRUS and varicella zoster virus.",What is the approved indication for Vidarabine?,Treatment of bacterial infections,Treatment of fungal infections,"Treatment of chickenpox - varicella, herpes zoster and herpes simplex",Treatment of hypertension,Treatment of diabetes,C
780,DB00194,Vidarabine,small molecule,"Nucleosides, nucleotides, and analogues",inducer | inhibitor,"A nucleoside antibiotic isolated from Streptomyces antibioticus. It has some antineoplastic properties and has broad spectrum activity against DNA viruses in cell cultures and significant antiviral activity against infections caused by a variety of viruses such as the herpes viruses, the vaccinia VIRUS and varicella zoster virus.","What is the primary route of administration for the product ""Vira-A"" containing Vidarabine?",Oral,Intravenous,Topical,Inhalation,Subcutaneous,C
781,DB00194,Vidarabine,small molecule,"Nucleosides, nucleotides, and analogues",inducer | inhibitor,"A nucleoside antibiotic isolated from Streptomyces antibioticus. It has some antineoplastic properties and has broad spectrum activity against DNA viruses in cell cultures and significant antiviral activity against infections caused by a variety of viruses such as the herpes viruses, the vaccinia VIRUS and varicella zoster virus.",What is the chemical classification of Vidarabine?,Amino acid derivative,Beta-lactam antibiotic,Purine nucleoside,Steroid,Non-steroidal anti-inflammatory drug (NSAID),C
782,DB00234,Reboxetine,small molecule,Benzenoids,inhibitor,"Reboxetine is an antidepressant drug used in the treatment of clinical depression, panic disorder and ADD/ADHD. Its mesylate (i.e. methanesulfonate) salt is sold under tradenames including Edronax, Norebox, Prolift, Solvex, Davedax or Vestra. Reboxetine has two chiral centers, but it only exists as two enantiomers, (R,R)-(-)- and (S,S)-(+)-reboxetine.",What is the mechanism of action of Reboxetine?,Selective serotonin reuptake inhibitor,Selective noradrenaline reuptake inhibitor,Dopamine receptor antagonist,Monoamine oxidase inhibitor,Calcium channel blocker,B
783,DB00234,Reboxetine,small molecule,Benzenoids,inhibitor,"Reboxetine is an antidepressant drug used in the treatment of clinical depression, panic disorder and ADD/ADHD. Its mesylate (i.e. methanesulfonate) salt is sold under tradenames including Edronax, Norebox, Prolift, Solvex, Davedax or Vestra. Reboxetine has two chiral centers, but it only exists as two enantiomers, (R,R)-(-)- and (S,S)-(+)-reboxetine.",What is the half-life of Reboxetine?,24 hours,12.5 hours,6 hours,3 hours,48 hours,B
784,DB00234,Reboxetine,small molecule,Benzenoids,inhibitor,"Reboxetine is an antidepressant drug used in the treatment of clinical depression, panic disorder and ADD/ADHD. Its mesylate (i.e. methanesulfonate) salt is sold under tradenames including Edronax, Norebox, Prolift, Solvex, Davedax or Vestra. Reboxetine has two chiral centers, but it only exists as two enantiomers, (R,R)-(-)- and (S,S)-(+)-reboxetine.",Which of the following is NOT a reported side effect of Reboxetine?,Seizures,Increased serotonin levels,CNS depressant activities increase when combined with certain drugs,Metabolized by cytochrome P450 CYP3A4,Rapid and extensive absorption,B
785,DB00234,Reboxetine,small molecule,Benzenoids,inhibitor,"Reboxetine is an antidepressant drug used in the treatment of clinical depression, panic disorder and ADD/ADHD. Its mesylate (i.e. methanesulfonate) salt is sold under tradenames including Edronax, Norebox, Prolift, Solvex, Davedax or Vestra. Reboxetine has two chiral centers, but it only exists as two enantiomers, (R,R)-(-)- and (S,S)-(+)-reboxetine.",Under which drug classification does Reboxetine fall?,Antipyretics,Antibiotics,Antidepressants,Antivirals,Analgesics,C
786,DB00238,Nevirapine,small molecule,Organic nitrogen compounds,inhibitor,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.",How is Nevirapine primarily metabolized in the body?,Renal filtration,Hepatic via cytochrome P450 3A4,Gastric acid breakdown,Pancreatic enzymes,Intestinal absorption,B
787,DB00238,Nevirapine,small molecule,Organic nitrogen compounds,inhibitor,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.",What is the mechanism of action of Nevirapine?,It enhances the immune system,It inhibits cyclooxygenase enzymes,It blocks reverse transcriptase,It acts as a protease inhibitor,It increases insulin sensitivity,C
788,DB00238,Nevirapine,small molecule,Organic nitrogen compounds,inhibitor,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.",What is the chemical class of Nevirapine?,Beta-lactam antibiotics,Corticosteroids,Dipyridodiazepinone,Monoclonal antibodies,Phosphodiesterase inhibitors,C
789,DB00238,Nevirapine,small molecule,Organic nitrogen compounds,inhibitor,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.",What is the reported half-life of Nevirapine?,12 hours,24 hours,36 hours,45 hours,60 hours,D
790,DB00271,Diatrizoate,small molecule,Benzenoids,unknown,"A commonly used x-ray contrast medium.  As diatrizoate meglumine and as Diatrizoate sodium, it is used for gastrointestinal studies, angiography, and urography.",Which of the following is NOT a form in which Diatrizoate is used?,Diatrizoate meglumine,Diatrizoate sodium,Diatrizoic acid dihydrate,Diatrizoate potassium,Diatrizoate calcium,E
791,DB00271,Diatrizoate,small molecule,Benzenoids,unknown,"A commonly used x-ray contrast medium.  As diatrizoate meglumine and as Diatrizoate sodium, it is used for gastrointestinal studies, angiography, and urography.",What is the mechanism of action of Diatrizoate?,Blocks bacterial cell wall synthesis,Inhibits DNA replication,Iodine-based contrast for X-rays,Enhances neurotransmitter release,Modulates immune response,C
792,DB00271,Diatrizoate,small molecule,Benzenoids,unknown,"A commonly used x-ray contrast medium.  As diatrizoate meglumine and as Diatrizoate sodium, it is used for gastrointestinal studies, angiography, and urography.",Which of the following is a known toxicity of Diatrizoate?,Causes severe allergic reactions,Leads to high blood pressure,Cytotoxic to renal cells,Induces respiratory depression,Increases risk of infections,C
793,DB00271,Diatrizoate,small molecule,Benzenoids,unknown,"A commonly used x-ray contrast medium.  As diatrizoate meglumine and as Diatrizoate sodium, it is used for gastrointestinal studies, angiography, and urography.",How is Diatrizoate primarily eliminated from the body?,Through feces,Metabolized in the liver,Excreted unchanged in urine,Exhaled through the lungs,Through perspiration,C
794,DB00272,Betazole,small molecule,Organic nitrogen compounds,agonist,A histamine H2 agonist used clinically to test gastric secretory function.,What is the mechanism of action of Betazole?,It is a histamine H1 antagonist,It is a histamine H2 antagonist,It is a histamine H2 agonist,It is a proton pump inhibitor,It is an anticholinergic agent,C
795,DB00272,Betazole,small molecule,Organic nitrogen compounds,agonist,A histamine H2 agonist used clinically to test gastric secretory function.,What is the chemical classification of Betazole?,Steroid,2-arylethylamines,Carbohydrate,Lipid,Nucleic acid,B
796,DB00272,Betazole,small molecule,Organic nitrogen compounds,agonist,A histamine H2 agonist used clinically to test gastric secretory function.,Which of the following is a salt form of Betazole?,Betazole sulfate,Betazole nitrate,Betazole hydrochloride,Betazole phosphate,Betazole acetate,C
797,DB00272,Betazole,small molecule,Organic nitrogen compounds,agonist,A histamine H2 agonist used clinically to test gastric secretory function.,What is the absorption characteristic of Betazole?,Slow and incomplete,Rapid and complete,Moderate and variable,Not absorbed,Only absorbed sublingually,B
798,DB00307,Bexarotene,small molecule,Lipids and lipid-like molecules,agonist,"Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma.",What is the mechanism of action of Bexarotene?,Inhibits DNA replication in cancer cells,Selectively binds with and activates retinoid X receptor subtypes,Blocks the PD-1/PD-L1 cancer pathway,Induces apoptosis in malignant cells,Prevents angiogenesis in tumors,B
799,DB00307,Bexarotene,small molecule,Lipids and lipid-like molecules,agonist,"Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma.",What is the protein binding percentage of Bexarotene?,50%,75%,85%,>99%,60%,D
800,DB00307,Bexarotene,small molecule,Lipids and lipid-like molecules,agonist,"Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma.",Which of the following is NOT a route of administration for Bexarotene?,Oral,Topical,Intravenous,Subcutaneous,Inhalation,C
801,DB00307,Bexarotene,small molecule,Lipids and lipid-like molecules,agonist,"Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma.",What is the half-life of Bexarotene?,3 hours,5 hours,7 hours,12 hours,24 hours,C
802,DB00316,Acetaminophen,small molecule,Benzenoids,activator | inhibitor,"Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label]

Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.[L5783] Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.[L5786,L5789,Label]",Which of the following is NOT a form in which Acetaminophen is available?,Syrup form,Effervescent tablets,Injection,Topical cream,Suppository,D
803,DB00316,Acetaminophen,small molecule,Benzenoids,activator | inhibitor,"Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label]

Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.[L5783] Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.[L5786,L5789,Label]",What is a significant risk associated with the incorrect use of Acetaminophen?,Kidney failure,Fatal overdose and liver failure,Heart attack,Severe allergic reactions,Brain damage,B
804,DB00316,Acetaminophen,small molecule,Benzenoids,activator | inhibitor,"Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label]

Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.[L5783] Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.[L5786,L5789,Label]","According to research, what mechanism does Acetaminophen use to alleviate pain?",It enhances the production of red blood cells,It inhibits the absorption of vitamins and minerals,It increases the pain threshold by inhibiting cyclooxygenase enzymes,It promotes the secretion of digestive enzymes,It blocks nerve signal transmission entirely,C
805,DB00331,Metformin,small molecule,Organic nitrogen compounds,activator | inducer | inhibitor,"Metformin is a biguanide antihyperglycemic agent and first-line pharmacotherapy used in the management of type II diabetes.[L12207,A176173] 

Metformin is considered an antihyperglycemic drug because it lowers blood glucose concentrations in type II diabetes without causing hypoglycemia. It is commonly described as an ""insulin sensitizer"", leading to a decrease in insulin resistance and a clinically significant reduction of plasma fasting insulin levels.[A176173] Another well-known benefit of this drug is modest weight loss, making it an effective choice for obese patients type II diabetes.[A36559]

Metformin was first approved in Canada in 1972,[A36552] and received subsequent FDA approval in the US in 1995.[L12207]",What is one of the well-known benefits of Metformin besides its antihyperglycemic effect?,Increases blood pressure,Modest weight gain,Modest weight loss,Increases cholesterol levels,Reduces bone density,C
806,DB00331,Metformin,small molecule,Organic nitrogen compounds,activator | inducer | inhibitor,"Metformin is a biguanide antihyperglycemic agent and first-line pharmacotherapy used in the management of type II diabetes.[L12207,A176173] 

Metformin is considered an antihyperglycemic drug because it lowers blood glucose concentrations in type II diabetes without causing hypoglycemia. It is commonly described as an ""insulin sensitizer"", leading to a decrease in insulin resistance and a clinically significant reduction of plasma fasting insulin levels.[A176173] Another well-known benefit of this drug is modest weight loss, making it an effective choice for obese patients type II diabetes.[A36559]

Metformin was first approved in Canada in 1972,[A36552] and received subsequent FDA approval in the US in 1995.[L12207]",What is the mechanism of action of Metformin as described in the drug information?,It increases insulin production.,"It acts as an insulin sensitizer, decreasing insulin resistance.",It directly stimulates glucose uptake in tissues.,It blocks carbohydrate absorption in the intestine.,It increases glucose excretion in urine.,B
807,DB00367,Levonorgestrel,small molecule,Lipids and lipid-like molecules,modulator | binder | inhibitor,"Levonorgestrel (LNG) is a synthetic progestogen similar to [Progesterone] used in contraception and hormone therapy.[A181988,T659] Also known as Plan B, it is used as a single agent in emergency contraception, and as a hormonal contraceptive released from an intrauterine device, commonly referred to as an IUD. Some of these devices are known as Jaydess, Kyleena, and Mirena.  A subdermal implant of levonorgestrel that slowly releases the hormone over a long-term period is also available.[L7823]  In addition to the above uses, levonorgestrel is used as a component of long-term combination contraceptives.[A181991,L7760,L7778] 

Globally, levonorgestrel is the most commonly used emergency contraceptive. It was initially granted FDA approval in 1982 and was the first emergency contraceptive containing only progesterone, showing high levels of efficacy and a lack of estrogenic adverse effects when compared to older emergency contraceptive regimens.[A181976,A181994,L7760]",Which of the following devices is NOT mentioned as a form of Levonorgestrel delivery?,Mirena,Kyleena,Jaydess,Nexplanon,Norplant,D
808,DB00367,Levonorgestrel,small molecule,Lipids and lipid-like molecules,modulator | binder | inhibitor,"Levonorgestrel (LNG) is a synthetic progestogen similar to [Progesterone] used in contraception and hormone therapy.[A181988,T659] Also known as Plan B, it is used as a single agent in emergency contraception, and as a hormonal contraceptive released from an intrauterine device, commonly referred to as an IUD. Some of these devices are known as Jaydess, Kyleena, and Mirena.  A subdermal implant of levonorgestrel that slowly releases the hormone over a long-term period is also available.[L7823]  In addition to the above uses, levonorgestrel is used as a component of long-term combination contraceptives.[A181991,L7760,L7778] 

Globally, levonorgestrel is the most commonly used emergency contraceptive. It was initially granted FDA approval in 1982 and was the first emergency contraceptive containing only progesterone, showing high levels of efficacy and a lack of estrogenic adverse effects when compared to older emergency contraceptive regimens.[A181976,A181994,L7760]",Which of the following is NOT a documented use of Levonorgestrel?,Emergency contraception,Long-term contraception,Hormone therapy during menopause,Treatment of type 2 diabetes,Prevention of osteoporosis,D
809,DB00389,Carbimazole,small molecule,Organoheterocyclic compounds,inhibitor,"An imidazole antithyroid agent. Carbimazole is metabolized to methimazole, which is responsible for the antithyroid activity.",What is Carbimazole primarily used to treat?,Hypothyroidism,Cushing's syndrome,Hyperthyroidism and thyrotoxicosis,Diabetes mellitus,Adrenal insufficiency,C
810,DB00389,Carbimazole,small molecule,Organoheterocyclic compounds,inhibitor,"An imidazole antithyroid agent. Carbimazole is metabolized to methimazole, which is responsible for the antithyroid activity.",Which of the following is NOT a form in which Carbimazole is available?,"Tablet, film coated",Capsule,Tablet,Injection,Oral solution,D
811,DB00389,Carbimazole,small molecule,Organoheterocyclic compounds,inhibitor,"An imidazole antithyroid agent. Carbimazole is metabolized to methimazole, which is responsible for the antithyroid activity.",What is the protein binding percentage of Carbimazole?,25%,50%,75%,85%,95%,D
812,DB00389,Carbimazole,small molecule,Organoheterocyclic compounds,inhibitor,"An imidazole antithyroid agent. Carbimazole is metabolized to methimazole, which is responsible for the antithyroid activity.",Which of the following categories does Carbimazole belong to?,Antiviral agents,Antithyroid agents,Antibacterial agents,Antifungal agents,Antidepressants,B
813,DB00393,Nimodipine,small molecule,Organoheterocyclic compounds,agonist | antagonist | inhibitor,"Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm.",What is the primary therapeutic use of Nimodipine?,To treat hypertension.,To improve neurologic outcome following subarachnoid hemorrhage.,To manage angina pectoris.,To reduce high cholesterol levels.,To cure migraines.,B
814,DB00393,Nimodipine,small molecule,Organoheterocyclic compounds,agonist | antagonist | inhibitor,"Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm.",How is Nimodipine primarily metabolized in the body?,Renal excretion.,Hepatic metabolism via CYP 3A4.,Gastric acid breakdown.,Pancreatic enzymes.,Direct excretion through the skin.,B
815,DB00393,Nimodipine,small molecule,Organoheterocyclic compounds,agonist | antagonist | inhibitor,"Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm.",What is the bioavailability of Nimodipine when administered orally?,100%,75-85%,50-60%,3-30%,40-50%,D
816,DB00393,Nimodipine,small molecule,Organoheterocyclic compounds,agonist | antagonist | inhibitor,"Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm.",What is the protein binding percentage of Nimodipine?,25%,50%,75%,95%,100%,D
817,DB00432,Trifluridine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"Trifluridine is a fluorinated pyrimidine nucleoside that is structurally related to [idoxuridine] [A35271]. It is an active antiviral agent in ophthalmic solutions used mainly in the treatment of primary keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus. It displays effective antiviral activity against Herpes simplex virus type 1 and 2 [A35271]. 

The combination product of trifluridine with tipiracil marketed as Lonsurf has been approved in Japan, the United States, and the European Union for the treatment of adult patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF biological therapy, and if RAS wild-type, an anti-EGFR therapy. In the anticancer therapy, trifluridine acts as a thymidine-based nucleoside metabolic inhibitor that gets incorporated into DNA of cancer cells following cell uptake to aberrate DNA function during cell replication [F649].",What viruses is Trifluridine effective against?,Influenza virus,Herpes simplex virus type 1 and 2,HIV,Hepatitis B virus,Coronavirus,B
818,DB00432,Trifluridine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"Trifluridine is a fluorinated pyrimidine nucleoside that is structurally related to [idoxuridine] [A35271]. It is an active antiviral agent in ophthalmic solutions used mainly in the treatment of primary keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus. It displays effective antiviral activity against Herpes simplex virus type 1 and 2 [A35271]. 

The combination product of trifluridine with tipiracil marketed as Lonsurf has been approved in Japan, the United States, and the European Union for the treatment of adult patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF biological therapy, and if RAS wild-type, an anti-EGFR therapy. In the anticancer therapy, trifluridine acts as a thymidine-based nucleoside metabolic inhibitor that gets incorporated into DNA of cancer cells following cell uptake to aberrate DNA function during cell replication [F649].","In combination with Tipiracil, what is Trifluridine used to treat?",Lung cancer,Leukemia,Metastatic colorectal cancer,Skin cancer,Lymphoma,C
819,DB00432,Trifluridine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"Trifluridine is a fluorinated pyrimidine nucleoside that is structurally related to [idoxuridine] [A35271]. It is an active antiviral agent in ophthalmic solutions used mainly in the treatment of primary keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus. It displays effective antiviral activity against Herpes simplex virus type 1 and 2 [A35271]. 

The combination product of trifluridine with tipiracil marketed as Lonsurf has been approved in Japan, the United States, and the European Union for the treatment of adult patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF biological therapy, and if RAS wild-type, an anti-EGFR therapy. In the anticancer therapy, trifluridine acts as a thymidine-based nucleoside metabolic inhibitor that gets incorporated into DNA of cancer cells following cell uptake to aberrate DNA function during cell replication [F649].",What is the mechanism of action of Trifluridine in cancer treatment?,It enhances immune system response against cancer cells.,It blocks blood supply to tumors.,"It gets incorporated into DNA, disrupting DNA function and cell replication.",It prevents the metastasis of cancer cells.,It induces apoptosis directly through external signaling.,C
820,DB00432,Trifluridine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"Trifluridine is a fluorinated pyrimidine nucleoside that is structurally related to [idoxuridine] [A35271]. It is an active antiviral agent in ophthalmic solutions used mainly in the treatment of primary keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus. It displays effective antiviral activity against Herpes simplex virus type 1 and 2 [A35271]. 

The combination product of trifluridine with tipiracil marketed as Lonsurf has been approved in Japan, the United States, and the European Union for the treatment of adult patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF biological therapy, and if RAS wild-type, an anti-EGFR therapy. In the anticancer therapy, trifluridine acts as a thymidine-based nucleoside metabolic inhibitor that gets incorporated into DNA of cancer cells following cell uptake to aberrate DNA function during cell replication [F649].",What is the primary anticipated complication of a Trifluridine overdose?,Severe allergic reactions,Acute renal failure,Bone marrow suppression,Liver toxicity,Neurotoxicity,C
821,DB00441,Gemcitabine,small molecule,"Nucleosides, nucleotides, and analogues",cross-linking/alkylation | inhibitor,"Gemcitabine is a nucleoside analog and a chemotherapeutic agent. It was originally investigated for its antiviral effects, but it is now used as an anticancer therapy for various cancers.[A233135] Gemcitabine is a cytidine analog with two fluorine atoms replacing the hydroxyl on the ribose.[A233145] As a prodrug, gemcitabine is transformed into its active metabolites that work by replacing the building blocks of nucleic acids during DNA elongation, arresting tumour growth and promoting apoptosis of malignant cells.[L32960] The structure, metabolism, and mechanism of action of gemcitabine are similar to [cytarabine], but gemcitabine has a wider spectrum of antitumour activity.[A233140]

Gemcitabine is marketed as Gemzar and it is available as intravenous injection. It is approved by the FDA to treat advanced ovarian cancer in combination with [carboplatin], metastatic breast cancer in combination with [paclitaxel], non-small cell lung cancer in combination with [cisplatin], and pancreatic cancer as monotherapy.[L32950] It is also being investigated in other cancer and tumour types.",For which type of cancer is Gemcitabine NOT specifically indicated?,Non-small cell lung cancer,Metastatic breast cancer,Prostate cancer,Pancreatic cancer,Ovarian cancer,C
822,DB00441,Gemcitabine,small molecule,"Nucleosides, nucleotides, and analogues",cross-linking/alkylation | inhibitor,"Gemcitabine is a nucleoside analog and a chemotherapeutic agent. It was originally investigated for its antiviral effects, but it is now used as an anticancer therapy for various cancers.[A233135] Gemcitabine is a cytidine analog with two fluorine atoms replacing the hydroxyl on the ribose.[A233145] As a prodrug, gemcitabine is transformed into its active metabolites that work by replacing the building blocks of nucleic acids during DNA elongation, arresting tumour growth and promoting apoptosis of malignant cells.[L32960] The structure, metabolism, and mechanism of action of gemcitabine are similar to [cytarabine], but gemcitabine has a wider spectrum of antitumour activity.[A233140]

Gemcitabine is marketed as Gemzar and it is available as intravenous injection. It is approved by the FDA to treat advanced ovarian cancer in combination with [carboplatin], metastatic breast cancer in combination with [paclitaxel], non-small cell lung cancer in combination with [cisplatin], and pancreatic cancer as monotherapy.[L32950] It is also being investigated in other cancer and tumour types.",What is the role of deoxycytidine kinase in the metabolism of Gemcitabine?,It deaminates Gemcitabine to its inactive form.,It phosphorylates Gemcitabine to form Gemcitabine monophosphate.,It prevents the absorption of Gemcitabine.,It catalyzes the excretion of Gemcitabine.,It synthesizes Gemcitabine from its precursors.,B
